year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2010,Acura,TSX,Base,Sedan,automatic,jh4cu2f60ac039534,nj,2.6,94114.0mi,gray,black,lester glenn ford,$9300,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2007,BMW,X3,3.0si,SUV,automatic,wbxpc93497wf26942,ca,4.4,66672.0mi,gold,beige,high bid trading co inc,$10500,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
2014,Subaru,Forester,2.5i Premium PZEV,suv,automatic,jf2sjaecxeh529531,ca,4.9,22340.0mi,blue,gray,subaru of america,$20400,Thu Jun 18 2015 06:00:00 GMT-0700 (PDT)
2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a74dg190301,ut,3.5,34479.0mi,silver,gray,the hertz corporation,$12700,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
2006,Chrysler,300,Base,Sedan,automatic,2c3ka43r56h484697,nj,1.9,195151.0mi,blue,gray,hertz remarketing,$400,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
2007,Mitsubishi,Endeavor,LS,SUV,automatic,4a4mm21sx7e056289,fl,2.3,125116.0mi,white,black,flag/mint motorcars inc,$4100,Thu May 21 2015 02:45:00 GMT-0700 (PDT)
2010,Chrysler,Sebring,Touring,Sedan,automatic,1c3cc4fb0an163177,co,2.7,126665.0mi,black,black,wells fargo dealer services,$4000,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac1ch375772,oh,4.7,41313.0mi,silver,gray,hyundai motor finance,$12500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c59cvh84198,nj,3.5,19038.0mi,black,—,financial services remarketing (lease),$21500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab3cn322147,ca,3.5,57723.0mi,blue,black,dtg operations inc,$9800,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn448474,fl,4.6,33731.0mi,black,black,zimmerman auto brokers inc,$16800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2011,Mazda,Mazda3,s Sport,Hatchback,automatic,jm1bl1k6xb1479080,ca,3.8,20864.0mi,white,black,"jpmorgan chase bank,n.a.",$14000,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2010,Ford,Fusion,S,Sedan,automatic,3fahp0ga8ar123954,ca,3.1,104809.0mi,silver,gray,stream llc dba stream remarketing solutions,$4800,Thu Jan 22 2015 04:30:00 GMT-0800 (PST)
2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud34dd557620,il,2.6,55435.0mi,white,black,the hertz corporation,$8500,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2012,Acura,TL,Advance Package,Sedan,automatic,19uua8f71ca015284,ga,3.2,62056.0mi,gray,black,"jpmorgan chase bank,n.a.",$17500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx6eud07270,oh,5.0,12234.0mi,burgundy,gray,"ford motor credit company,llc",$18800,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2007,Lexus,IS 250,Base,sedan,automatic,jthbk262575036222,ca,2.8,105149.0mi,black,black,capitol mitsubishi,$11400,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s3xe9117643,ne,3.9,34941.0mi,gray,gray,assets recovered,$18900,Thu Mar 05 2015 04:15:00 GMT-0800 (PST)
2007,BMW,X5,4.8i,suv,automatic,5uxfe83567lz40991,ca,2.4,86961.0mi,black,beige,auto finance solutions dba abc remarketing,$14300,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2013,Volvo,S60,T5,Sedan,automatic,yv1612fsxd2190700,ca,4.5,21084.0mi,brown,black,volvo car financial service/world omni,$20000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2008,Chrysler,PT Cruiser,Touring,wagon,automatic,3a8fy58b98t116049,fl,1.9,115444.0mi,red,gray,santander consumer,$2300,Wed Jun 17 2015 02:05:00 GMT-0700 (PDT)
2014,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcd64e3015670,oh,3.8,51245.0mi,blue,black,ge fleet services for itself/servicer,$16800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Dodge,Journey,SXT,SUV,automatic,3c4pddbg9dt635134,co,4.4,37205.0mi,silver,black,avis corporation,$16900,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
2012,Toyota,Corolla,L,Sedan,automatic,5yfbu4ee7cp050011,fl,2.0,53117.0mi,white,beige,hertz damaged liquidation,$6800,Tue Jan 20 2015 01:32:00 GMT-0800 (PST)
2014,Nissan,Murano,LE,suv,automatic,jn8az1mw6ew517732,nj,5.0,1509.0mi,brown,gray,route one corporation,$25000,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2012,Honda,CR-V,EX-L,suv,automatic,5j6rm4h76cl024062,mi,4.3,69865.0mi,blue,gray,ars/ford-lincoln dealer program,$17300,Wed Jul 08 2015 07:30:00 GMT-0700 (PDT)
2005,Toyota,Avalon,XLS,Sedan,automatic,4t1bk36b25u051556,nj,3.0,87679.0mi,gray,beige,l k auto sales inc,$8000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2013,Audi,A4,2.0T Premium quattro,sedan,automatic,waubfafl6dn003649,ca,3.7,36116.0mi,gray,black,high bid trading co inc,$21750,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2003,Dodge,Sprinter Cargo,2500 SH Ceiling 140 WB,Van,automatic,wd2yd642935540104,nc,2.5,221790.0mi,white,gray,city finance inc,$3600,Mon Jun 08 2015 02:30:00 GMT-0700 (PDT)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f25dl294108,tn,4.1,24987.0mi,—,black,"ford motor credit company,llc",$12000,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2008,Chrysler,Town and Country,Touring,Minivan,automatic,2a8hr54p98r132892,nj,2.6,109484.0mi,blue,gray,kull auto sales inc,$5650,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu9h94duc88463,mn,3.5,29910.0mi,—,beige,ford-lincoln dealer program,$19700,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2015,Subaru,Forester,2.5i Premium PZEV,SUV,automatic,jf2sjadcxfh435281,ca,4.6,8384.0mi,gray,black,subaru of america,$23800,Thu Jan 22 2015 05:00:00 GMT-0800 (PST)
2012,BMW,X5 M,Base,SUV,automatic,5ymgy0c51clk27772,ca,3.5,48464.0mi,black,black,financial services remarketing (lease),$45500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,Honda,Civic,LX,sedan,automatic,2hgfb2f56eh502292,mo,3.5,28176.0mi,black,black,regional acceptance corporation / winterville,$12600,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
2006,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg25v661134041,oh,2.3,221996.0mi,white,gray,mike albert limited,$2700,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,wddhf8jb2da744043,oh,2.5,23583.0mi,black,black,mercedes-benz financial services,$28750,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2015,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ft7w2bt0fea82596,fl,4.3,13009.0mi,white,gray,enterprise veh exchange/rental,$38700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn527685,nc,4.2,43037.0mi,silver,gray,t & k enterprises of mt airy inc,$12100,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
2006,Jeep,Liberty,Limited,SUV,automatic,1j4gk58k66w115536,ca,2.9,178123.0mi,brown,beige,j m auto imports corp,$3200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Subaru,Impreza,2.0i Premium PZEV,Sedan,automatic,jf1gjac61eh020242,ca,5.0,6430.0mi,red,black,subaru of america,$16600,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LS Fleet,sedan,automatic,2g1wf5e31d1235695,ca,2.3,57510.0mi,black,black,the hertz corporation,$8600,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er253261,pa,4.0,29814.0mi,gold,black,hertz corporation/gdp,$16200,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2001,Chrysler,Sebring,LX,Sedan,automatic,1c3el46xx1n641822,oh,1.9,228299.0mi,silver,gray,pat o'brien chevrolet,$275,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e11bf299553,pa,3.0,52407.0mi,gray,black,lease plan usa,$9000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c52cl758866,wi,3.4,64295.0mi,black,black,enterprise motorcars inc,$27250,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2013,BMW,3 Series,335i,Convertible,automatic,wbadx7c53de746574,ca,4.8,49936.0mi,black,black,financial services remarketing (lease),$30500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0h95dub91123,tn,4.5,28697.0mi,black,beige,ford motor credit company,$18600,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2004,Toyota,Camry,LE V6,Sedan,automatic,jtdbf30k140157925,tx,2.1,100450.0mi,gold,tan,dt credit corporation,$4000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37x,g coupe,automatic,jn1cv6el6cm473518,wi,3.5,32039.0mi,black,black,nissan infiniti lt,$20800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2002,Saturn,S-Series,SC1,Coupe,manual,1g8zn12812z298813,ma,1.9,118991.0mi,black,gray,hertz remarketing,$450,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2014,Mitsubishi,Outlander,GT,SUV,automatic,ja4jz4ax9ez019804,mn,4.8,19401.0mi,silver,black,mitsubishi north america,$23000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2013,Nissan,GT-R,Black Edition,Coupe,automatic,jn1ar5ef7dm261230,nv,2.9,9905.0mi,black,black,manheim dallas,$63000,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
2008,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc13e28l371188,nc,2.7,103703.0mi,black,black,regional acceptance corporation / greenville,$3700,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2013,Infiniti,QX,QX56,SUV,automatic,jn8az2ne9d9041873,ca,4.2,48110.0mi,gray,black,the hertz corporation,$40250,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl4eg242158,az,4.0,10197.0mi,red,black,barco rent a truck,$45500,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2010,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcscrea0az268226,ca,3.3,72552.0mi,silver,gray,ecars,$15500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2013,Ram,1500,SLT,crew cab,automatic,1c6rr7lt7ds639716,oh,3.6,19298.0mi,brown,gray,chrysler capital,$27700,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk7eu367883,nj,1.0,23674.0mi,silver,black,enterprise vehicle exchange / tra / rental / tulsa,$12750,Wed Jan 21 2015 04:00:00 GMT-0800 (PST)
2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f066078687,oh,3.7,101432.0mi,red,gray,dt credit corporation,$5000,Wed Dec 31 2014 09:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb4cr207989,ca,3.2,27156.0mi,black,black,mercedes-benz financial services,$20500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,Dodge,Charger,SE,sedan,automatic,2c3cdxbg6eh197638,fl,4.0,21236.0mi,silver,black,hertz corporation/gdp,$16700,Mon Jun 08 2015 05:30:00 GMT-0700 (PDT)
2005,Mercury,Montego,Luxury,Sedan,automatic,1mefm40195g614377,fl,2.8,58029.0mi,blue,gray,lauderdale bmw of fort lauderdale,$4800,Fri Jan 16 2015 01:35:00 GMT-0800 (PST)
2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb4br157166,fl,2.1,44323.0mi,white,—,mercedes-benz financial services,$16600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2012,BMW,Z4,sDrive35i,Convertible,manual,wbalm7c5xce384486,ca,4.3,17290.0mi,blue,—,financial services remarketing (lease),$36900,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb3dn715012,mn,2.9,43330.0mi,gold,black,dtg operations inc,$9400,Tue Jun 16 2015 17:00:00 GMT-0700 (PDT)
2013,Dodge,Avenger,SE,sedan,automatic,1c3cdzab1dn712553,fl,4.2,54228.0mi,white,black,dtg operations inc,$9600,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
2000,Subaru,Outback,Base,Wagon,automatic,4s3bh6650y7605923,ca,1.9,227292.0mi,green,beige,sullivan luxury cars llc,$600,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2011,Hyundai,Accent,GLS,Sedan,automatic,kmhcn4ac6bu608143,mn,4.3,84294.0mi,white,gray,capital one auto finance,$5800,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthce1blxd5003409,wi,2.7,21271.0mi,gray,gray,lexus financial services,$30200,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2006,GMC,Sierra 1500,SLE1,Crew Cab,automatic,2gtec13t261163383,ca,1.0,1.0mi,gray,gray,time finance co,$2700,Wed May 20 2015 04:00:00 GMT-0700 (PDT)
2006,Chrysler,Town and Country,Base,Minivan,automatic,1a4gp45r76b594103,mo,2.3,97125.0mi,blue,gray,primeritus remarketing/midwest auto mart llc,$3500,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
2010,Chevrolet,Cobalt,SS,Coupe,manual,1g1ag1fx8a7164611,pa,3.5,71810.0mi,silver,black,westbury jeep chrysler dodge inc,$8500,Mon Feb 16 2015 16:00:00 GMT-0800 (PST)
2013,Mazda,6,i Touring,Sedan,automatic,1yvhz8dh9d5m05977,mi,4.2,26944.0mi,black,black,"jpmorgan chase bank,n.a.",$13400,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
2012,Jeep,Wrangler,Unlimited Sahara,SUV,manual,1c4bjweg1cl100142,ga,4.2,21095.0mi,red,black,r m hollenshead auto sales inc,$28000,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2009,Toyota,Venza,Base,Wagon,automatic,4t3bk11a19u008925,tx,2.8,61653.0mi,red,tan,autonation honda lewisville,$11700,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2010,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcskrea0az290990,nj,3.7,60545.0mi,silver,black,"jpmorgan chase bank,n.a.",$17200,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,suv,automatic,1fmcu0eg6cka71666,tn,4.2,58508.0mi,black,black,wholesale inc # 2,$15900,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2011,Ford,Fiesta,SE,sedan,automatic,3fadp4bj3bm170854,fl,3.5,59775.0mi,red,black,santander consumer,$8200,Wed Jun 10 2015 02:05:00 GMT-0700 (PDT)
2005,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp522051167847,mi,1.9,154854.0mi,black,black,security auto loans inc,$400,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg2er304649,il,3.0,28812.0mi,red,black,fca us llc,$15500,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2010,Ford,Transit Connect,Cargo Van XL,Minivan,automatic,nm0ls7an7at034248,nc,3.2,202485.0mi,white,gray,wheels exchange llc,$4800,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,SUV,automatic,1fmcu9dg7ckb80689,mn,3.5,54447.0mi,black,black,flexco fleet services,$15700,Thu Jan 15 2015 02:45:00 GMT-0800 (PST)
2005,Ford,Freestar,SE,Minivan,automatic,2fmda51625ba68431,va,2.0,208343.0mi,gray,gray,purple heart,$400,Thu Feb 19 2015 03:50:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbg2dn569326,nc,2.5,57765.0mi,blue,gray,chrysler capital,$9400,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dn488751,nj,2.9,53642.0mi,red,black,the hertz corporation,$10700,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k95er382279,tx,4.5,25962.0mi,gray,black,avis budget group,$17300,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2005,Nissan,Xterra,S,SUV,automatic,5n1an08u45c602396,oh,3.5,103745.0mi,gray,gray,dt inventory,$4200,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,sedan,automatic,3fa6p0hr7dr193428,ga,3.4,55836.0mi,gray,gray,the hertz corporation,$12801,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
2013,Mazda,Mazdaspeed3,Touring,Hatchback,manual,jm1bl1l30d1816069,fl,4.0,12206.0mi,gray,black,gm financial,$19000,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
2012,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfhy5f14cx264388,az,4.0,22304.0mi,silver,gray,desert toyota,$34000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6eu400999,wa,4.3,17877.0mi,blue,black,toyota motor sales usa inc/program,$16600,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
2011,Ford,Escape,XLT,SUV,automatic,1fmcu0d74bka19307,tn,4.1,58542.0mi,red,beige,marshal mize ford inc,$12500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c54cl759906,ca,4.4,86032.0mi,gray,black,financial services remarketing (lease),$26000,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p18s650818,il,1.9,115919.0mi,red,gray,wells fargo dealer services,$5000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2013,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl3ap0dn463283,ca,4.3,16417.0mi,silver,black,nissan north america inc.,$16250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e95eg112024,mo,4.6,11775.0mi,silver,black,ford-lincoln dealer program,$20800,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
2012,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb1cn124658,mi,4.9,54259.0mi,blue,black,kevins marysville auto sales inc,$10100,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2013,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu5du016369,nj,3.4,54549.0mi,silver,black,dollar thrifty auto group,$9000,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2007,Toyota,RAV4,Base,SUV,automatic,jtmzd33v176048490,tx,3.5,105165.0mi,white,tan,"jpmorgan chase bank,n.a.",$6000,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
2012,Kia,Optima,LX,Sedan,automatic,5xxgm4a7xcg065348,nj,2.7,36649.0mi,black,tan,kia motors finance,$10500,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2007,Honda,CR-V,EX-L,SUV,automatic,jhlre38747c000557,fl,4.1,144533.0mi,gold,beige,dab auto world & leasing,$8100,Tue Feb 24 2015 08:00:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb8d7130812,nv,3.9,59810.0mi,white,black,the hertz corporation,$10500,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
2008,Cadillac,Escalade,Base,SUV,automatic,1gyec63858r222813,ca,3.2,81572.0mi,green,black,reliance motors llc,$23400,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2010,Buick,Enclave,CXL2,suv,automatic,5galrced5aj251920,mi,5.0,39544.0mi,black,black,kevins marysville auto sales inc,$20600,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
2007,Lexus,IS 250,Base,Sedan,automatic,jthck262672015983,md,3.7,96279.0mi,gray,black,exeter finance corp,$10500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mm5dc657508,oh,3.8,54194.0mi,white,black,the hertz corporation,$19800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43r78h214144,va,1.9,112589.0mi,gray,gray,fiserv/dealer funding llc,$3500,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Murano,SL,suv,automatic,jn8az1mwxcw215079,co,3.8,27263.0mi,white,beige,nissan-infiniti lt,$19800,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
2003,Jaguar,XK-Series,XK8,Convertible,automatic,sajda42c832a31006,ca,3.6,42933.0mi,red,beige,phillips auto brokerage,$12300,Wed Jan 07 2015 04:30:00 GMT-0800 (PST)
2005,Dodge,Stratus,SXT,Sedan,automatic,1b3el46r75n540516,fl,2.3,76729.0mi,gray,black,autonation lincoln clearwater,$2400,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2015,Chevrolet,Tahoe,LT,suv,automatic,1gnscbkc9fr180061,nv,4.2,21203.0mi,red,gray,gm financial,$43000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2014,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwfp7at9em602629,fl,3.5,25206.0mi,black,black,sixt rent a car,$12700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj7dm380662,ca,4.5,37984.0mi,white,black,enterprise vehicle exchange/orange,$12000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2015,Toyota,Corolla,LE,Sedan,automatic,2t1burhe3fc291075,fl,4.8,9583.0mi,silver,gray,westlake financial services,$13500,Thu May 28 2015 08:00:00 GMT-0700 (PDT)
2005,Mercedes-Benz,CLK-Class,CLK320,Coupe,automatic,wdbtj65j85f164548,fl,3.0,79978.0mi,white,beige,east coast financial,$8400,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,sedan,automatic,4t1bf1fk7eu397269,fl,4.7,25036.0mi,white,black,toyota motor sales usa inc/program,$15700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,3gnal2ek4es668666,fl,4.0,15678.0mi,white,black,gm remarketing,$14500,Mon Jan 26 2015 05:00:00 GMT-0800 (PST)
2009,Audi,Q7,3.6 Premium quattro,SUV,automatic,wa1ey74l69d014612,ca,3.6,92649.0mi,silver,black,newport lexus,$13750,Wed May 13 2015 05:15:00 GMT-0700 (PDT)
2006,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b06u146814,va,2.9,131571.0mi,white,beige,rosner motors inc,$7200,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h797263148,tx,2.9,72672.0mi,gold,black,dt credit corporation,$5900,Tue Dec 30 2014 10:30:00 GMT-0800 (PST)
2008,Jeep,Liberty,Limited Edition,SUV,automatic,1j8gn58k38w204442,il,3.9,73558.0mi,black,beige,chrysler capital,$11500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2010,Ford,F-150,XLT,SuperCab,automatic,1ftex1c87afc17486,tn,2.0,202380.0mi,—,beige,"remarketing by ge/premier motors leasing,inc",$8000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb4ca609736,tx,3.6,32760.0mi,—,gray,mercedes-benz financial services,$22000,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Coupe,automatic,wbalw3c59cc891863,ca,4.1,50362.0mi,white,white,high bid trading co inc,$42000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2010,Toyota,Avalon,XL,Sedan,automatic,4t1bk3db3au362636,nj,4.4,48961.0mi,white,gray,lester glenn buick,$12050,Wed Jan 14 2015 09:30:00 GMT-0800 (PST)
2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfw5bs661054,fl,3.4,57088.0mi,white,gray,nicholas financial inc/clearwater,$7300,Thu Feb 26 2015 07:00:00 GMT-0800 (PST)
2006,Dodge,Charger,SE,Sedan,automatic,2b3ka43gx6h147924,oh,3.1,76227.0mi,black,black,delta auto group london,$7700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Ram,2500,SLT,Crew Cab,automatic,3c6ur5jlxdg525461,pa,4.4,49125.0mi,—,gray,r hollenshead auto sales inc,$38250,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2014,Jeep,Patriot,Limited,SUV,automatic,1c4njrcb2ed809701,mo,4.4,23810.0mi,white,tan,budget rac of memphis,$18300,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2006,Honda,Accord,EX,Sedan,automatic,1hgcm56826a028480,sc,1.9,121541.0mi,black,tan,hendrick honda of charleston,$4500,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
2006,Lexus,LS 430,Base,Sedan,automatic,jthbn36fx65043696,ca,4.1,99607.0mi,white,beige,kern auto remarketing,$17000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2004,Ford,Explorer,XLT,SUV,automatic,1fmzu73k34ua84939,ma,2.8,115959.0mi,beige,tan,"first chrysler dodge, jeep, ram",$1900,Thu Feb 05 2015 10:30:00 GMT-0800 (PST)
2006,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66u06j116596,ca,1.9,199340.0mi,gray,gray,manheim san diego,$4600,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2015,Chevrolet,Camaro,LT,Convertible,automatic,2g1fd3d30f9156728,tn,4.7,14334.0mi,black,black,enterprise veh exchange/rental,$24400,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2000,Ford,Explorer,XLS,SUV,automatic,1fmzu62x6yzb13642,tx,2.0,199378.0mi,red,tan,purple heart,$300,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f966191280,az,1.9,153181.0mi,blue,gray,"jpmorgan chase bank,n.a.",$2900,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
